Email,Happiness,Passion,Skill,Money,Contribution,Ikigai 
0.8262523326828731,4,4,4,5,3,zen master
0.4154004326871584,1,2,2,5,2,profiteer
0.18749150776964763,4,4,3,3,1,bohemian
0.7067347814443499,4,5,3,2,3,bohemian
0.6478801025509782,5,5,4,1,1,bohemian
0.33879887216117854,4,4,3,4,2,bohemian
0.8046453647887467,4,2,4,1,4,worker
0.07166431874897428,4,4,3,4,3,bohemian
0.22321679639639314,4,4,4,5,4,zen master
0.7731708725449643,4,4,4,3,3,bohemian
0.8695821654152704,3,4,3,3,2,bohemian
0.011015262917951851,4,5,4,1,3,bohemian
0.7326786744928209,2,1,5,3,5,worker
0.5845256232710224,4,5,3,3,2,bohemian
0.7782348362999689,4,4,4,4,5,zen master
0.29391579396123757,5,5,4,4,4,zen master
0.1891973955850632,4,2,4,5,2,worker
0.25970807074888325,5,4,4,4,4,zen master
0.04207113480625202,4,4,4,3,3,bohemian
0.6737788102981581,4,4,5,4,2,zen master
0.5766835524276948,4,4,3,5,3,bohemian
0.2092499418422893,3,3,3,3,2,profiteer
0.5230119531266414,4,3,3,5,2,bohemian
0.41432378521528046,4,4,4,5,4,zen master
0.6616841653736802,4,4,4,4,3,zen master
0.053546897334000865,4,3,4,4,2,bohemian
0.10146061850548371,4,4,4,5,4,zen master
0.2972751661913613,4,4,4,5,3,zen master
0.8902515255079483,4,4,3,4,2,bohemian
0.08750354953947204,2,3,2,4,2,profiteer
0.8428097364292039,2,2,4,4,1,profiteer
0.306266188362607,5,4,4,3,2,bohemian
0.0732407481040791,3,3,4,5,3,worker
0.21399290811170335,4,4,4,2,2,bohemian
0.10852475809758189,4,3,4,3,3,bohemian
0.003906290489614772,4,2,5,5,3,worker
0.7219458495767971,5,5,5,5,5,zen master
0.7458435954362609,3,3,4,2,1,bohemian
0.2620106905400832,4,4,4,5,4,zen master
0.7154627748693038,5,5,5,2,5,zen master
0.6593225488258994,4,4,4,3,3,bohemian
0.410892172765857,4,5,5,5,4,zen master
0.050374096737726304,5,4,4,5,4,zen master
