Time of Record (Adjusted to Time Zone),Email,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/10/20 5:10 PM,0.003906290489614772,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/12/20 12:08 PM,0.2681813060878999,Ok,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/12/20 2:01 PM,0.2620106905400832,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Afternoon
4/12/20 2:49 PM,0.6478801025509782,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/12/20 2:51 PM,0.050374096737726304,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/12/20 4:29 PM,0.6478801025509782,Amazing,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Afternoon
4/12/20 5:15 PM,0.33879887216117854,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Evening
4/12/20 6:42 PM,0.4782825663491381,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Evening
4/12/20 8:20 PM,0.6478801025509782,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Evening
4/12/20 9:53 PM,0.18749150776964763,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Night
4/12/20 10:38 PM,0.8262523326828731,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/12/20 11:05 PM,0.6478801025509782,Amazing,i3: Eating and drinking,I want to,Evening,Inflow,Night
4/13/20 6:34 AM,0.29391579396123757,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/13/20 7:06 AM,0.7067347814443499,Amazing,i4: Exercise,I want to,Morning,Inflow,Morning
4/13/20 7:17 AM,0.7154627748693038,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/13/20 8:00 AM,0.0732407481040791,Good,"b10: Spiritual (e.g., meditating, praying)",I want to,Morning,Bi-Directional,Morning
4/13/20 8:01 AM,0.07987691256179696,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/13/20 8:01 AM,0.22321679639639314,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Evening,Inflow,Morning
4/13/20 8:45 AM,0.7067347814443499,Good,i3: Eating and drinking,I want to,Morning,Inflow,Morning
4/13/20 8:50 AM,0.29391579396123757,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/13/20 8:55 AM,0.7591494294474629,Amazing,i3: Eating and drinking,I want to and have to,,Inflow,Morning
4/13/20 9:00 AM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/13/20 9:24 AM,0.7154627748693038,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Morning
4/13/20 9:24 AM,0.41434933550599706,Good,i3: Eating and drinking,I want to and have to,,Inflow,Morning
4/13/20 9:36 AM,0.6418846738228277,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 9:41 AM,0.21399290811170335,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 9:48 AM,0.41434933550599706,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 9:48 AM,0.6593225488258994,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Morning
4/13/20 9:48 AM,0.11474372029382096,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
4/13/20 9:49 AM,0.8262523326828731,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/13/20 9:49 AM,0.25970807074888325,Bad,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Evening,Bi-Directional,Morning
4/13/20 9:50 AM,0.6478801025509782,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/13/20 9:51 AM,0.8902515255079483,Ok,"i9: Self-care (e.g. grooming, pooping)",I have to,Morning,Inflow,Morning
4/13/20 9:53 AM,0.81995471299887,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,,Bi-Directional,Morning
4/13/20 9:54 AM,0.21399290811170335,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 9:56 AM,0.2620106905400832,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Morning
