Time of Record (Adjusted to Time Zone),,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/10/20 17:10,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/12/20 12:08,,Ok,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/12/20 14:01,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Afternoon
4/12/20 14:49,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/12/20 14:51,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/12/20 16:29,,Amazing,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Afternoon
4/12/20 17:15,,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Evening
4/12/20 18:42,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Evening
4/12/20 20:20,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Evening
4/12/20 21:53,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Night
4/12/20 22:38,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/12/20 23:05,,Amazing,i3: Eating and drinking,I want to,Evening,Inflow,Night
4/13/20 6:34,,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/13/20 7:06,,Amazing,i4: Exercise,I want to,Morning,Inflow,Morning
4/13/20 7:17,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/13/20 8:00,,Good,"b10: Spiritual (e.g., meditating, praying)",I want to,Morning,Bi-Directional,Morning
4/13/20 8:01,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/13/20 8:01,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Evening,Inflow,Morning
4/13/20 8:45,,Good,i3: Eating and drinking,I want to,Morning,Inflow,Morning
4/13/20 8:50,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/13/20 8:55,,Amazing,i3: Eating and drinking,I want to and have to,,Inflow,Morning
4/13/20 9:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/13/20 9:24,,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Morning
4/13/20 9:24,,Good,i3: Eating and drinking,I want to and have to,,Inflow,Morning
4/13/20 9:36,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 9:41,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 9:48,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 9:48,,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Morning
4/13/20 9:48,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
4/13/20 9:49,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/13/20 9:49,,Bad,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Evening,Bi-Directional,Morning
4/13/20 9:50,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/13/20 9:51,,Ok,"i9: Self-care (e.g. grooming, pooping)",I have to,Morning,Inflow,Morning
4/13/20 9:53,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,,Bi-Directional,Morning
4/13/20 9:54,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 9:56,,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Morning
4/13/20 9:59,,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Morning
4/13/20 10:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/13/20 10:02,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Morning
4/13/20 10:04,,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 10:12,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 10:13,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
4/13/20 10:22,,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 10:30,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Morning
4/13/20 10:35,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Morning
4/13/20 10:35,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/13/20 10:45,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
4/13/20 10:50,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Morning,Bi-Directional,Morning
4/13/20 10:54,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Evening,Inflow,Morning
4/13/20 10:59,,Ok,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/13/20 11:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
