What's your name?,What's your email?,happy,enjoy,skill,financial,contribution,Time,Values,Personality
,0.1583765229931997,4,4,4,5,3,Working for a company,Achieving personal success,EXFJ
,0.7086478396139877,1,2,2,5,2,Working for a company,Enjoying life,IXXP
,0.08308736515327775,4,4,3,3,1,Studying,Experiencing excitement and novelty,ENFP
,0.21253218986895905,4,5,3,2,3,Caring for family and friends,"Looking out for my family, friends, and community",INFJ
,0.3304710148400801,5,5,4,1,1,Exploring and enjoying life,Achieving personal success,ISXP
,0.5833425632241989,4,4,3,4,2,Studying,"Achieving stability of society, of relationships, and of self",INXP
,0.14475615085902438,4,2,4,1,4,Exploring and enjoying life,"Looking out for my family, friends, and community",INFP
,0.9380540297739965,4,4,3,4,3,Exploring and enjoying life,Enjoying life,INFP
,0.1184321087970619,4,4,4,5,4,Working for a company,Having autonomy in my life,ENFX
,0.564585842791622,4,4,4,3,3,Studying,"Achieving stability of society, of relationships, and of self",INFP
,0.01563488634240673,3,4,3,3,2,Working for a company,Having autonomy in my life,ISFP
,0.25839144275078507,4,5,4,1,3,Other,Achieving personal success,ENFJ
,0.9670303077775145,2,1,5,3,5,Working for a company,"Achieving stability of society, of relationships, and of self",ENFP
,0.9742433596587847,4,5,3,3,2,Exploring and enjoying life,Having autonomy in my life,INFP
,0.052743246904831564,4,4,4,4,5,Working for a company,Experiencing excitement and novelty,ENTP
,0.47062594179866724,5,5,4,4,4,Studying,"Achieving stability of society, of relationships, and of self",ENFP
,0.4418858769056371,4,2,4,5,2,Exploring and enjoying life,"Achieving stability of society, of relationships, and of self",INFP
,0.06500110804942982,5,4,4,4,4,Exploring and enjoying life,"Looking out for my family, friends, and community",ENFP
,0.8446051534415681,4,4,4,3,3,Studying,"Achieving stability of society, of relationships, and of self",INTJ
,0.952456733585949,4,4,5,4,2,Working for a company,Achieving personal success,XSTJ
,0.26215877576708146,4,4,3,5,3,Exploring and enjoying life,Adhering to my culture or religion,ESFP
,0.6068011175331701,3,3,3,3,2,Working for a company,"Achieving stability of society, of relationships, and of self",ESFJ
,0.9823920758930172,4,3,3,5,2,Other,Enjoying life,ENFJ
,0.9683612893812937,4,4,4,5,4,Working for a company,"Achieving stability of society, of relationships, and of self",XSFJ
,0.4200332733443054,4,4,4,4,3,Exploring and enjoying life,Achieving personal success,ISFJ
,0.7924088969044457,4,3,4,4,2,Exploring and enjoying life,"Looking out for my family, friends, and community",ENFP
,0.06039711277921589,4,4,4,5,4,Studying,"Achieving stability of society, of relationships, and of self",EXXP
,0.9315112778021273,4,4,4,5,3,Caring for family and friends,"Achieving stability of society, of relationships, and of self",ENFX
,0.817253941758365,4,4,3,4,2,Working for my own venture,Enjoying life,INFP
,0.5157316942142043,2,3,2,4,2,Studying,Enjoying life,INFP
,0.34679438537665774,2,2,4,4,1,Exploring and enjoying life,"Achieving stability of society, of relationships, and of self",INXP
,0.4102140562355081,5,4,4,3,2,Studying,"Looking out for my family, friends, and community",ENFP
,0.06274324933223174,3,3,4,5,3,Studying,Understanding and advancing the welfare of all people,ENXP
,0.9398480699563431,4,4,4,2,2,Working for a company,"Achieving stability of society, of relationships, and of self",ISTJ
,0.2162767527405548,4,3,4,3,3,Working for a company,Understanding and advancing the welfare of all people,ISTJ
,0.6921431327071405,4,2,5,5,3,Other,"Achieving stability of society, of relationships, and of self",IXTJ
,0.49754481032776987,5,5,5,5,5,Exploring and enjoying life,Understanding and advancing the welfare of all people,ENTP
,0.4911253697880793,3,3,4,2,1,Working for a company,Experiencing excitement and novelty,ENFJ
,0.20551658837992548,4,4,4,5,4,Caring for family and friends,Understanding and advancing the welfare of all people,ENXP
,0.34234062536783805,5,5,5,2,5,Studying,Enjoying life,ENFJ
,0.5894787606572532,4,4,4,3,3,Working for a company,Enjoying life,ESFX
,0.14354407178010975,4,5,5,5,4,Other,Experiencing excitement and novelty,INFJ
,0.40930401676639394,5,4,4,5,4,Working for my own venture,Enjoying life,ISFJ
